Name,Type,Stage,Cost,Health,Attack,Flavor Text
Bubble Sort,Algorithm,1,0,1,1,Bubble sort: O(n^2)
Seelection Sort,Algorithm,1,1,2,2,Selection sort: O(n^2)
Eelnsertion Sort,Algorithm,1,2,3,3,Insertion sort: O(n^2)
Surgeon Sort,Algorithm,2,3,4,4,Merge sort: O(nlgn)
Shell Sort,Algorithm,2,4,5,5,Shell sort: O(nlgn)
Quickfish Sort,Algorithm,2,5,6,6,Quick Sort: O(nlgn)
A-Starfish,Algorithm,3,6,7,7,A-Star Algorithm
Bucket o fish Sort,Algorithm,3,7,8,8,Bucket sort: O(n)
Raydix Sort,Algorithm,3,0,4,4,Radix sort: O(n)
Parraykeet,Data Structure,1,2,1,3,Array
Sphinx List,Data structure,1,2,2,3,Linked List
Binary Canary Tree,Data Structure,2,4,3,4,Binary Search Tree
Quack Stack,Data Structure,2,5,4,5,Stack
Hawkmap,Data Structure,2,5,2,7,Hashmap
Quetzelqueueotl,Data structure,2,6,3,8,Queue
Grifminmax Heap,Data Structure,3,10,5,10,Min/Max Heap
Hippograph,Data structure,3,8,4,9,Graph
Balanced Canary Tree,Data Structure,3,7,4,7,Balanced Search Tree
Bitbug,Data Type,1,2,2,2,Bit
Stringer Bee,Data Type,1,2,2,3,String
Int Ant,Data Type,1,2,3,1,Int
Beetlean,Data Type,1,2,3,2,Boolean
Pointerpede,Data Type,2,3,4,3,Pointer
Bytebug,Data Type,2,4,5,4,Byte
Tupletick,Data Type,2,5,6,5,Tuple
Wordbug,Data Type,3,10,8,8,Word
Referant,Data Type,3,9,10,6,Reference
Allocate memory,Spell,-1,2,-1,-1,Adds 2 shield to creature
Allocate more memory,Spell,-1,3,-1,-1,Adds 3 shield to creature
Overclock,Spell,-1,2,-1,-1,Add 2 attack to creature
Superoverclock,Spell,-1,3,-1,-1,Adds 3 attack to creature
Recover data,Spell,-1,2,-1,-1,Add 5 health to player
Backup data,Spell,-1,3,-1,-1,Adds 10 health to player
Send Bug,Spell,-1,1,-1,-1,Subtract 2 health from a target
Send Malware,Spell,-1,3,-1,-1,Subtract 4 health from a target
